RUN	accuracy_score	f1_score	f1_score-Macro	f1_score-Micro	precision_score	roc_auc_score	recall_score	balanced_accuracy_score	Specificity	Sensivity	TN	FP	FN	TP	DOR	LR+	LR-
1.000000000000000000e+00,7.259999999999999787e-01,6.019999999999999796e-01,6.969999999999999529e-01,7.259999999999999787e-01,5.620000000000000551e-01,7.059999999999999609e-01,6.490000000000000213e-01,7.059999999999999609e-01,7.620000000000000107e-01,6.490000000000000213e-01,1.250000000000000000e+02,3.900000000000000000e+01,2.700000000000000000e+01,5.000000000000000000e+01,5.935422602089269084e+00,2.730602730602730510e+00,1.710484637313905876e-05
2.000000000000000000e+00,6.889999999999999458e-01,5.709999999999999520e-01,6.640000000000000346e-01,6.889999999999999458e-01,5.100000000000000089e-01,6.780000000000000471e-01,6.490000000000000213e-01,6.780000000000000471e-01,7.069999999999999618e-01,6.490000000000000213e-01,1.160000000000000000e+02,4.800000000000000000e+01,2.700000000000000000e+01,5.000000000000000000e+01,4.475308641975308532e+00,2.218614718614718484e+00,1.843194652277915476e-05
3.000000000000000000e+00,6.430000000000000160e-01,4.939999999999999947e-01,6.089999999999999858e-01,6.430000000000000160e-01,4.520000000000000129e-01,6.169999999999999929e-01,5.450000000000000400e-01,6.169999999999999929e-01,6.889999999999999458e-01,5.450000000000000400e-01,1.130000000000000000e+02,5.100000000000000000e+01,3.500000000000000000e+01,4.200000000000000000e+01,2.658823529411764586e+00,1.754010695187165236e+00,2.452759845378019507e-05
4.000000000000000000e+00,7.299999999999999822e-01,4.799999999999999822e-01,6.490000000000000213e-01,7.299999999999999822e-01,6.250000000000000000e-01,6.400000000000000133e-01,3.900000000000000133e-01,6.400000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,1.460000000000000000e+02,1.800000000000000000e+01,4.700000000000000000e+01,3.000000000000000000e+01,5.177304964539007237e+00,3.549783549783550374e+00,2.549238265910500748e-05
5.000000000000000000e+00,6.510000000000000231e-01,5.330000000000000293e-01,6.280000000000000027e-01,6.510000000000000231e-01,4.660000000000000253e-01,6.440000000000000169e-01,6.229999999999999982e-01,6.440000000000000169e-01,6.650000000000000355e-01,6.229999999999999982e-01,1.090000000000000000e+02,5.500000000000000000e+01,2.900000000000000000e+01,4.800000000000000000e+01,3.280250783699059536e+00,1.858795749704840850e+00,2.106866058533098240e-05
6.000000000000000000e+00,6.889999999999999458e-01,5.759999999999999565e-01,6.650000000000000355e-01,6.889999999999999458e-01,5.100000000000000089e-01,6.820000000000000506e-01,6.620000000000000329e-01,6.820000000000000506e-01,7.009999999999999565e-01,6.620000000000000329e-01,1.150000000000000000e+02,4.900000000000000000e+01,2.600000000000000000e+01,5.100000000000000000e+01,4.603610675039246480e+00,2.216803604558706287e+00,1.790362341793943124e-05
7.000000000000000000e+00,6.560000000000000275e-01,5.649999999999999467e-01,6.400000000000000133e-01,6.560000000000000275e-01,4.739999999999999769e-01,6.680000000000000382e-01,7.009999999999999565e-01,6.680000000000000382e-01,6.340000000000000080e-01,7.009999999999999565e-01,1.040000000000000000e+02,6.000000000000000000e+01,2.300000000000000000e+01,5.400000000000000000e+01,4.069565217391304834e+00,1.916883116883116855e+00,1.751297483004800076e-05
8.000000000000000000e+00,6.850000000000000533e-01,5.729999999999999538e-01,6.620000000000000329e-01,6.850000000000000533e-01,5.050000000000000044e-01,6.790000000000000480e-01,6.620000000000000329e-01,6.790000000000000480e-01,6.949999999999999512e-01,6.620000000000000329e-01,1.140000000000000000e+02,5.000000000000000000e+01,2.600000000000000000e+01,5.100000000000000000e+01,4.472307692307692761e+00,2.172467532467531992e+00,1.806067274616697112e-05
9.000000000000000000e+00,6.350000000000000089e-01,5.270000000000000240e-01,6.149999999999999911e-01,6.350000000000000089e-01,4.500000000000000111e-01,6.350000000000000089e-01,6.360000000000000098e-01,6.350000000000000089e-01,6.340000000000000080e-01,6.360000000000000098e-01,1.040000000000000000e+02,6.000000000000000000e+01,2.800000000000000000e+01,4.900000000000000000e+01,3.033333333333333659e+00,1.739393939393939492e+00,2.132014327136278354e-05
1.000000000000000000e+01,7.139999999999999680e-01,5.610000000000000542e-01,6.740000000000000435e-01,7.139999999999999680e-01,5.500000000000000444e-01,6.760000000000000453e-01,5.709999999999999520e-01,6.760000000000000453e-01,7.800000000000000266e-01,5.709999999999999520e-01,1.280000000000000000e+02,3.600000000000000000e+01,3.300000000000000000e+01,4.400000000000000000e+01,4.740740740740740478e+00,2.603174603174603252e+00,2.041594076655052432e-05
1.100000000000000000e+01,6.850000000000000533e-01,6.239999999999999991e-01,6.760000000000000453e-01,6.850000000000000533e-01,5.040000000000000036e-01,7.199999999999999734e-01,8.179999999999999494e-01,7.199999999999999734e-01,6.219999999999999973e-01,8.179999999999999494e-01,1.020000000000000000e+02,6.200000000000000000e+01,1.400000000000000000e+01,6.300000000000000000e+01,7.403225806451613877e+00,2.164222873900293553e+00,1.086909264814572890e-05
1.200000000000000000e+01,6.929999999999999494e-01,5.649999999999999467e-01,6.640000000000000346e-01,6.929999999999999494e-01,5.160000000000000142e-01,6.740000000000000435e-01,6.229999999999999982e-01,6.740000000000000435e-01,7.259999999999999787e-01,6.229999999999999982e-01,1.190000000000000000e+02,4.500000000000000000e+01,2.900000000000000000e+01,4.800000000000000000e+01,4.377011494252873725e+00,2.271861471861471582e+00,1.929818490589140385e-05
