1 {'min_samples_split': 0.1, 'max_depth': 5, 'criterion': 'entropy'}
2 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'gini'}
3 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
4 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
5 {'min_samples_split': 0.1, 'max_depth': 7, 'criterion': 'gini'}
6 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
7 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'gini'}
8 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
9 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'gini'}
10 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
11 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'gini'}
12 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
13 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'gini'}
14 {'min_samples_split': 0.1, 'max_depth': 5, 'criterion': 'entropy'}
15 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
16 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'gini'}
17 {'min_samples_split': 0.1, 'max_depth': 5, 'criterion': 'gini'}
18 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
19 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
20 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
21 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
22 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
23 {'min_samples_split': 0.1, 'max_depth': 6, 'criterion': 'gini'}
24 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
25 {'min_samples_split': 0.1, 'max_depth': 3, 'criterion': 'entropy'}
26 {'min_samples_split': 0.1, 'max_depth': 6, 'criterion': 'gini'}
27 {'min_samples_split': 0.1, 'max_depth': 5, 'criterion': 'gini'}
28 {'min_samples_split': 0.1, 'max_depth': 6, 'criterion': 'gini'}
29 {'min_samples_split': 0.1, 'max_depth': 4, 'criterion': 'entropy'}
30 {'min_samples_split': 0.1, 'max_depth': 5, 'criterion': 'gini'}
